Rank,Title,Score
1,Berserk,9.45
2,Steel Ball Run,9.27
3,One Piece,9.20
4,Vagabond,9.19
5,Monster,9.10
6,Slam Dunk,9.06
7,Fullmetal Alchemist,9.05
8,Bonne nuit Punpun,9.03
9,Grand Blue,9.03
10,Vinland Saga,8.99
11,Kingdom,8.98
12,Monogatari Series: First Season,8.95
13,L'Ère des Cristaux,8.95
14,20th Century Boys,8.94
15,Ashita no Joe,8.94
16,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.92
17,Kaguya-sama,8.92
18,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.92
19,Mikkakan no Koufuku,8.92
20,Monogatari Series: Second Season,8.91
21,March comes in like a lion,8.90
22,GTO,8.89
23,Real,8.89
24,Yotsuba & !,8.87
25,A Silent Voice,8.86
26,Haikyu !! - Les As du volley,8.84
27,Monogatari Series: Final Season,8.84
28,Spice & Wolf,8.84
29,Nausicaä de la vallée du vent,8.83
30,"Yona, Princesse de l'Aube",8.83
31,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.82
32,86,8.81
33,Le Prix du reste de ma vie,8.80
34,My Teen Romantic Comedy is wrong as I expected,8.79
35,Re,8.79
36,Space Brothers,8.79
37,Made In Abyss,8.78
38,Nana,8.76
39,Mushoku Tensei: Isekai Ittara Honki Dasu,8.76
40,Utsuro no Hako to Zero no Maria,8.74
41,One-Punch Man,8.74
42,Mushishi,8.74
43,Sayonara Eri,8.74
44,Chainsaw Man,8.73
45,Solo Leveling,8.72
46,The Horizon,8.71
47,Escale à Yokohama,8.71
48,Le Pacte des yôkai,8.71
49,Kono Oto Tomare!,8.71
50,Koten-bu Series,8.70
51,Blue Period,8.70
52,Shoujo Shuumatsu Ryokou,8.70
53,Death Note,8.70
54,Hunter X Hunter,8.70
55,Akira,8.69
56,Ippo,8.68
57,Beck,8.68
58,Dorohedoro,8.68
59,Spy x Family,8.68
60,Yagate Kimi ni Naru,8.67
61,ReLIFE,8.66
62,Kozure Ookami,8.66
63,Zaregoto Series,8.65
64,Overlord,8.65
65,Violet Evergarden,8.64
66,Wind Breaker,8.64
67,Shinyaku Toaru Majutsu no Index,8.64
68,Banana Fish,8.64
69,Kokou no Hito,8.64
70,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.63
71,Kimi no Suizou wo Tabetai,8.63
72,Kono Subarashii Sekai ni Shukufuku wo!,8.62
73,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.62
74,Gintama,8.62
75,Aria,8.62
76,Pluto,8.61
77,Jibaku Shounen Hanako-kun,8.60
78,Mob Psycho 100,8.60
79,Golden Kamuy,8.60
80,Shigatsu wa Kimi no Uso,8.60
81,Sousou no Frieren,8.59
82,Kino no Tabi: The Beautiful World,8.58
83,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.58
84,Pandora Hearts,8.58
85,Given,8.58
86,Seishun Buta Yarou Series,8.57
87,L'Attaque des Titans,8.57
88,Rurouni Kenshin: Meiji Kenkaku Romantan,8.57
89,Skip Beat!,8.57
90,One Outs,8.57
91,Neon Genesis Evangelion,8.56
92,Hi no Tori (1967),8.56
93,Baccano!,8.56
94,Suzumiya Haruhi Series,8.56
95,Otoyomegatari,8.56
96,Watashitachi no Shiawase na Jikan,8.56
97,Tian Guan Ci Fu,8.56
98,Diamond no Ace Act II,8.56
99,Tongari Boushi no Atelier,8.55
100,Ginga Eiyuu Densetsu,8.55
